epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5833,3.04376,4.2326,1.77943,0,0,0,0,5.77755,4.41796,2.95477,0.0001,0.0001,0.0001
2,30.4628,2.30686,3.85937,1.41415,0,0,0,0,3.84645,4.36709,2.38727,0.000217822,0.000217822,0.000217822
3,43.5009,1.63353,2.97947,1.0653,0,0,0,0,2.97936,4.44082,1.94721,0.000333268,0.000333268,0.000333268
4,56.4496,1.22989,2.1591,0.92218,0,0,0,0,2.48139,4.47156,1.71292,0.000446338,0.000446338,0.000446338
5,69.2812,1.20981,1.6886,0.9379,0.00237,0.5,0.00333,0.0005,2.44699,3.97186,1.51326,0.000557032,0.000557032,0.000557032
6,82.0662,1.04918,1.34975,0.90079,0.00367,0.89286,0.01388,0.00614,1.44639,3.55099,1.15307,0.00066535,0.00066535,0.00066535
7,94.542,1.04017,1.36813,0.93441,0.00426,0.96429,0.02002,0.00854,1.09747,3.45274,1.09734,0.000771292,0.000771292,0.000771292
8,107.149,1.03734,1.33775,0.92506,0.00544,0.92857,0.02222,0.0107,1.03118,3.3888,1.07943,0.000874858,0.000874858,0.000874858
9,120.211,1.06231,1.20235,0.94777,0.00751,0.92857,0.01909,0.00889,1.02823,3.49442,1.09138,0.000976048,0.000976048,0.000976048
10,132.939,0.9388,1.19231,0.88695,0.00644,0.64286,0.01021,0.00422,0.98831,3.71709,1.11516,0.00107486,0.00107486,0.00107486
11,145.549,0.85475,1.09958,0.88017,0.00698,0.78571,0.0138,0.00614,1.06313,3.60928,1.12047,0.0011713,0.0011713,0.0011713
12,158.374,0.8113,0.9584,0.89698,0.00685,0.67857,0.00996,0.00446,1.05864,3.47075,1.14886,0.00126536,0.00126536,0.00126536
13,171.381,0.78842,0.99328,0.88219,0.00684,0.64286,0.0105,0.00634,1.09378,3.30983,1.19947,0.00135705,0.00135705,0.00135705
14,184.101,0.81803,0.89677,0.89167,0.00788,0.78571,0.01635,0.0104,1.1231,3.2948,1.18666,0.00144636,0.00144636,0.00144636
15,196.713,0.70799,0.85846,0.84928,0.00746,0.78571,0.04695,0.03294,1.02581,3.1451,1.15785,0.00153329,0.00153329,0.00153329
16,209.381,0.72266,0.82491,0.86245,0.5335,0.12389,0.27613,0.17343,1.30915,2.90814,1.24711,0.00161785,0.00161785,0.00161785
17,222.059,0.72509,0.86314,0.85401,0.28658,0.20128,0.16536,0.10066,1.27858,2.85939,1.28175,0.0016832,0.0016832,0.0016832
18,234.974,0.73282,0.90819,0.8813,0.72799,0.19227,0.61616,0.35792,1.27173,2.41473,1.25232,0.0016634,0.0016634,0.0016634
19,247.626,0.68692,0.80346,0.82244,0.73694,0.40059,0.70777,0.4001,1.24022,2.14456,1.28628,0.0016436,0.0016436,0.0016436
20,260.459,0.71951,0.8221,0.85833,0.57576,0.64286,0.55695,0.33522,1.28064,1.70175,1.27144,0.0016238,0.0016238,0.0016238
21,273.26,0.63934,0.68606,0.85339,0.64911,0.661,0.69862,0.42629,1.33103,1.64838,1.25782,0.001604,0.001604,0.001604
22,286.077,0.64998,0.70746,0.82706,0.86095,0.66379,0.79028,0.56983,0.93815,1.74795,1.09458,0.0015842,0.0015842,0.0015842
23,298.921,0.72621,0.74167,0.83724,0.82644,0.64286,0.76394,0.54983,0.93634,1.8287,1.09286,0.0015644,0.0015644,0.0015644
24,311.865,0.71547,0.68536,0.84911,0.85595,0.63691,0.76527,0.58639,0.85321,1.30414,1.05247,0.0015446,0.0015446,0.0015446
25,324.854,0.70778,0.72252,0.83296,0.86954,0.75,0.80343,0.57942,1.01009,1.3405,1.09773,0.0015248,0.0015248,0.0015248
26,337.853,0.80674,0.73429,0.86309,0.81462,0.67857,0.75284,0.5095,1.10918,1.60749,1.11359,0.001505,0.001505,0.001505
27,350.728,0.60699,0.6577,0.8076,0.81753,0.75,0.75954,0.53875,1.10111,1.39398,1.11598,0.0014852,0.0014852,0.0014852
28,363.367,0.57808,0.58581,0.84457,0.79987,0.75,0.74106,0.49108,1.14563,1.28539,1.17157,0.0014654,0.0014654,0.0014654
29,376.422,0.51519,0.58132,0.85573,0.68557,0.71429,0.67574,0.48111,1.08073,1.53796,1.13781,0.0014456,0.0014456,0.0014456
30,389.563,0.59172,0.57032,0.82226,0.63554,0.53571,0.61884,0.44696,0.96468,1.70515,1.09075,0.0014258,0.0014258,0.0014258
31,402.829,0.58194,0.60978,0.83304,0.64963,0.59626,0.62776,0.45656,0.96007,1.67038,1.0901,0.001406,0.001406,0.001406
32,416.333,0.51108,0.5133,0.81598,0.86539,0.4595,0.59633,0.42543,1.07328,1.64153,1.12648,0.0013862,0.0013862,0.0013862
33,429.264,0.51652,0.52429,0.79728,0.90988,0.42857,0.55378,0.4095,1.08724,1.80207,1.15941,0.0013664,0.0013664,0.0013664
34,442.259,0.54403,0.55094,0.84544,0.71894,0.54852,0.57285,0.43495,1.05107,1.83225,1.1403,0.0013466,0.0013466,0.0013466
35,455.076,0.43073,0.50295,0.82471,0.89314,0.46429,0.60503,0.44781,1.02269,1.58613,1.1422,0.0013268,0.0013268,0.0013268
36,468.247,0.48835,0.5294,0.81805,0.79182,0.57143,0.6507,0.46779,0.93145,1.32984,1.10652,0.001307,0.001307,0.001307
37,481.035,0.52648,0.51147,0.81629,0.73995,0.71146,0.69549,0.5078,0.97171,1.19356,1.10359,0.0012872,0.0012872,0.0012872
38,494.297,0.57934,0.50272,0.8264,0.8117,0.64286,0.69146,0.50918,0.97464,1.15306,1.10101,0.0012674,0.0012674,0.0012674
39,507.518,0.50111,0.5026,0.80828,0.82476,0.67256,0.70041,0.47526,1.14426,1.18739,1.13602,0.0012476,0.0012476,0.0012476
40,520.55,0.59688,0.51618,0.81346,0.88383,0.64286,0.6759,0.49785,0.91516,1.19,1.08709,0.0012278,0.0012278,0.0012278
41,533.451,0.46525,0.48662,0.80552,0.82342,0.66652,0.70857,0.52366,0.82255,1.10125,1.08434,0.001208,0.001208,0.001208
42,546.353,0.44058,0.44748,0.78999,0.85156,0.64286,0.73479,0.49714,0.98951,1.03315,1.10293,0.0011882,0.0011882,0.0011882
43,559.322,0.51435,0.42194,0.81415,0.88448,0.60714,0.7522,0.52479,0.95186,1.07641,1.09578,0.0011684,0.0011684,0.0011684
44,572.526,0.50409,0.44514,0.81224,0.85641,0.63919,0.73421,0.5691,0.75239,1.00869,1.06213,0.0011486,0.0011486,0.0011486
45,585.49,0.44763,0.49255,0.80042,0.84189,0.64286,0.71978,0.54893,0.71938,0.9943,1.04197,0.0011288,0.0011288,0.0011288
46,598.612,0.45666,0.45741,0.81917,0.76597,0.81832,0.78354,0.62278,0.72158,0.88958,1.03336,0.001109,0.001109,0.001109
47,611.644,0.43377,0.46037,0.81526,0.75876,0.85714,0.77808,0.60385,0.78743,0.85251,1.03981,0.0010892,0.0010892,0.0010892
48,624.607,0.46706,0.44402,0.7979,0.73956,0.81156,0.77605,0.59742,0.83504,0.92792,1.02622,0.0010694,0.0010694,0.0010694
49,637.708,0.46345,0.4148,0.81328,0.7166,0.85714,0.76754,0.60555,0.82558,0.93488,1.0214,0.0010496,0.0010496,0.0010496
50,650.716,0.42345,0.40682,0.77347,0.75426,0.85714,0.80365,0.63148,0.81054,0.92572,1.03962,0.0010298,0.0010298,0.0010298
51,663.812,0.41029,0.42967,0.80254,0.775,0.75,0.78364,0.62474,0.78597,0.90907,1.03924,0.00101,0.00101,0.00101
52,677.002,0.39563,0.39255,0.80372,0.77478,0.78571,0.7877,0.64027,0.7786,0.8705,1.03941,0.0009902,0.0009902,0.0009902
53,690.044,0.37963,0.37379,0.79386,0.80827,0.78571,0.78884,0.63505,0.8038,0.8931,1.05073,0.0009704,0.0009704,0.0009704
54,703.285,0.47311,0.38214,0.77574,0.95176,0.70504,0.80796,0.66272,0.78609,0.8526,1.06935,0.0009506,0.0009506,0.0009506
55,716.397,0.41984,0.38287,0.78369,0.95005,0.71429,0.79257,0.65188,0.75004,0.85631,1.0476,0.0009308,0.0009308,0.0009308
56,729.324,0.35413,0.35173,0.79339,0.90063,0.71429,0.79794,0.63935,0.7374,0.87302,1.048,0.000911,0.000911,0.000911
57,742.542,0.37488,0.35431,0.77179,0.95191,0.70724,0.79694,0.65831,0.69532,0.86163,1.05301,0.0008912,0.0008912,0.0008912
58,755.483,0.45101,0.35332,0.7881,0.86696,0.69859,0.78835,0.64703,0.7235,0.94057,1.04222,0.0008714,0.0008714,0.0008714
59,768.559,0.36662,0.38832,0.79266,0.83076,0.71429,0.79031,0.63035,0.80803,0.98237,1.04977,0.0008516,0.0008516,0.0008516
60,781.6,0.43835,0.37167,0.81997,0.93597,0.64286,0.77523,0.62452,0.73269,0.92231,1.04853,0.0008318,0.0008318,0.0008318
61,794.549,0.40277,0.37256,0.79258,0.94164,0.64286,0.81463,0.66174,0.71334,0.9397,1.04901,0.000812,0.000812,0.000812
62,807.308,0.45341,0.35146,0.8005,0.90055,0.67857,0.79562,0.63312,0.71633,0.89681,1.0601,0.0007922,0.0007922,0.0007922
63,820.322,0.37157,0.36908,0.8463,0.87419,0.75,0.80479,0.61644,0.81325,0.87976,1.0652,0.0007724,0.0007724,0.0007724
64,833.424,0.38906,0.35315,0.77246,0.91507,0.76997,0.84461,0.66252,0.77921,0.7901,1.04713,0.0007526,0.0007526,0.0007526
65,846.532,0.35344,0.34458,0.781,0.76321,0.82143,0.82001,0.65831,0.70403,0.77597,1.04204,0.0007328,0.0007328,0.0007328
66,859.694,0.39669,0.32719,0.78959,0.76379,0.80867,0.81677,0.64579,0.70069,0.81609,1.03903,0.000713,0.000713,0.000713
67,872.878,0.35571,0.34922,0.81129,0.75407,0.82143,0.8519,0.6591,0.69365,0.8202,1.03575,0.0006932,0.0006932,0.0006932
68,886.012,0.33288,0.34224,0.81732,0.79359,0.85714,0.87,0.67101,0.71574,0.81795,1.03386,0.0006734,0.0006734,0.0006734
69,899.212,0.34222,0.33056,0.78407,0.7912,0.85714,0.87131,0.69689,0.66888,0.78647,1.03157,0.0006536,0.0006536,0.0006536
70,912.254,0.34988,0.32737,0.80181,0.8731,0.73753,0.84817,0.67218,0.692,0.82118,1.03514,0.0006338,0.0006338,0.0006338
71,925.135,0.31002,0.30176,0.8232,0.90681,0.71429,0.84222,0.66234,0.76109,0.90777,1.03831,0.000614,0.000614,0.000614
72,938.069,0.33972,0.30897,0.78363,0.91268,0.74673,0.83734,0.64747,0.83118,1.00568,1.04063,0.0005942,0.0005942,0.0005942
73,950.863,0.3636,0.34644,0.7893,0.91281,0.74793,0.82849,0.66879,0.73939,0.97977,1.03252,0.0005744,0.0005744,0.0005744
74,963.89,0.34043,0.32705,0.78092,0.87851,0.7751,0.8184,0.65795,0.68026,0.95251,1.02892,0.0005546,0.0005546,0.0005546
75,976.782,0.31887,0.32283,0.79481,0.87307,0.78571,0.81515,0.65907,0.69765,0.95657,1.02825,0.0005348,0.0005348,0.0005348
76,990.263,0.32237,0.30924,0.76129,0.86964,0.78571,0.81047,0.65089,0.72714,0.9932,1.02705,0.000515,0.000515,0.000515
77,1003.53,0.29242,0.30386,0.79755,0.84301,0.75,0.78613,0.64175,0.70004,0.97939,1.02291,0.0004952,0.0004952,0.0004952
